State,Coverage Employer,Coverage Non-Group,Coverage Medicaid,Coverage Medicare,Coverage Military,Coverage Uninsured,SSI Aged,SSI Disabled,SSI Blind,SSI Total,Total Number of Medicare Beneficiaries,Medicare Aged,Medicare Disabled,Total Medicare Spending by Residence,Medicare Spending Per Enrollee,Disability Prevalence,Total Primary Care HPSA Designations,Total Dental Care HPSA Designations,Total Mental Health Care HPSA Designations,Total CHCs,CHC Service Delivery Sites,Total Rural Health Clinics,Total Residents,Male,Female,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,FPL Under 100%,FPL 100-199%,FPL 200-399%,FPL 400%+,Median Annual Household Income,Average Monthly SNAP Benefits per Participant
Alabama,47.20%,5.50%,19.50%,16.00%,2.10%,9.70%,"7,877","151,391",931,"160,199","1,041,256",79%,21%,"$6,082,057,554 ","$10,043 ",16.20%,104,84,61,17,161,135,"4,767,100",48.10%,51.90%,24%,9%,12%,25%,14%,18%,15.40%,20.10%,31.40%,33.00%,"$51,734 ",$128.94 
Alaska,48.40%,3.50%,21.30%,10.00%,5.30%,11.50%,"1,782","10,601",85,"12,468","93,267",88%,12%,"$911,936,545 ","$9,246 ",11.50%,301,298,304,27,194,0,"701,700",50.70%,49.30%,26%,9%,14%,25%,13%,13%,10.70%,13.70%,31.40%,44.30%,"$75,463 ",$180.63 
Arizona,45.10%,5.20%,21.00%,16.10%,1.50%,11.10%,"17,785","100,459","1,180","119,424","1,311,513",89%,11%,"$7,587,485,140 ","$9,614 ",13.20%,236,209,210,23,206,37,"7,098,000",49.30%,50.70%,24%,9%,12%,24%,12%,18%,13.40%,18.50%,32.10%,36.00%,"$62,055 ",$129.68 
Arkansas,42.00%,5.40%,26.20%,15.90%,1.40%,9.10%,"4,757","98,907",667,"104,331","634,556",79%,21%,"$4,444,199,343 ","$9,487 ",17.70%,98,96,51,12,149,110,"2,922,500",48.40%,51.60%,25%,9%,11%,25%,13%,17%,16.50%,22.80%,31.10%,29.50%,"$48,952 ",$108.08 
California,48.00%,6.60%,25.30%,11.40%,0.90%,7.80%,"353,120","853,079","16,798","1,222,997","6,219,520",90%,10%,"$41,130,306,519 ","$11,656 ",10.60%,643,499,578,180,"1,898",264,"38,642,700",49.40%,50.60%,24%,9%,14%,26%,12%,15%,11.80%,16.20%,27.70%,44.40%,"$80,440 ",$141.13 
Colorado,53.40%,6.90%,16.80%,12.80%,2.30%,7.80%,"10,896","61,273",555,"72,724","902,239",89%,11%,"$4,803,207,850 ","$9,051 ",10.60%,120,98,65,20,223,61,"5,611,800",50.10%,49.90%,23%,9%,14%,27%,13%,15%,9.40%,13.90%,28.30%,48.40%,"$77,127 ",$128.22 
Connecticut,52.90%,4.80%,21.50%,14.10%,0.70%,5.90%,"7,298","59,012",456,"66,766","675,638",88%,12%,"$4,706,811,303 ","$11,803 ",12.00%,28,39,38,16,314,0,"3,453,300",48.70%,51.30%,22%,9%,11%,26%,15%,18%,10.20%,12.60%,23.60%,53.60%,"$78,833 ",$143.13 
Delaware,49.70%,4.10%,20.40%,17.30%,1.80%,6.60%,"1,299","15,671",104,"17,074","206,381",87%,13%,"$1,879,826,447 ","$10,774 ",13.60%,11,10,11,3,16,0,"940,300",48.20%,51.80%,22%,8%,12%,24%,14%,20%,10.90%,13.70%,28.90%,46.50%,"$70,176 ",$123.93 
Dist. of Columbia,54.90%,6.50%,25.50%,8.20%,1.30%,3.60%,"2,177","23,242",147,"25,566","93,380",85%,15%,"$807,445,975 ","$10,679 ",11.90%,15,12,10,8,70,0,"671,300",47.50%,52.50%,19%,9%,22%,27%,10%,13%,14.30%,11.20%,18.30%,56.30%,"$92,266 ",$141.66 
Florida,40.30%,9.50%,17.40%,18.00%,1.70%,13.10%,"145,432","427,595","3,660","576,687","4,514,131",88%,12%,"$28,599,166,489 ","$11,646 ",13.70%,276,256,210,47,630,161,"20,992,000",48.50%,51.50%,21%,8%,11%,25%,14%,21%,12.70%,19.30%,32.10%,35.90%,"$59,227 ",$126.91 
Georgia,48.90%,5.60%,17.30%,12.60%,2.20%,13.40%,"25,979","230,912","2,186","259,077","1,712,442",84%,16%,"$10,686,059,200 ","$10,274 ",12.70%,243,187,89,35,297,100,"10,294,000",48.20%,51.80%,25%,9%,12%,27%,12%,15%,13.40%,18.50%,30.20%,37.90%,"$61,980 ",$132.27 
Hawaii,54.30%,4.10%,17.60%,15.90%,4.00%,4.10%,"5,314","17,185",174,"22,673","271,674",92%,8%,"$1,067,765,931 ","$7,208 ",11.90%,31,32,31,14,80,13,"1,343,000",48.80%,51.20%,23%,7%,12%,26%,13%,20%,9.80%,11.30%,27.70%,51.20%,"$83,102 ",$257.86 
Idaho,49.00%,8.60%,15.60%,15.00%,1.40%,10.50%,"1,753","29,025",244,"31,022","331,113",87%,13%,"$1,866,416,001 ","$8,481 ",13.90%,99,97,66,14,130,47,"1,750,900",49.90%,50.10%,27%,8%,12%,24%,12%,16%,11.10%,20.80%,34.70%,33.50%,"$60,999 ",$118.28 
Illinois,54.60%,5.20%,18.20%,14.10%,0.70%,7.30%,"30,645","231,207","2,487","264,339","2,217,423",87%,13%,"$17,476,884,508 ","$10,763 ",11.50%,263,233,188,45,425,253,"12,362,300",48.70%,51.30%,24%,9%,13%,26%,13%,16%,11.40%,15.10%,28.10%,45.50%,"$69,187 ",$134.50 
Iowa,54.40%,4.90%,19.50%,15.60%,0.90%,4.70%,"3,203","47,826",624,"51,653","621,223",88%,12%,"$4,395,794,431 ","$9,090 ",12.30%,132,132,95,14,89,206,"3,060,200",49.50%,50.50%,24%,9%,11%,24%,14%,17%,11.40%,16.00%,33.10%,39.50%,"$61,691 ",$121 
Indiana,53.30%,4.40%,17.70%,14.80%,1.00%,8.80%,"5,881","120,866",952,"127,699","1,252,517",84%,16%,"$8,754,312,435 ","$10,214 ",13.70%,115,103,84,27,224,89,"6,511,800",49.00%,51.00%,25%,9%,12%,25%,13%,16%,12.20%,17.70%,33.60%,36.50%,"$57,603 ",$128.78 
Kansas,54.30%,5.60%,13.90%,15.00%,2.00%,9.20%,"2,893","44,083",388,"47,364","531,236",87%,13%,"$4,281,224,145 ","$9,843 ",14.20%,184,177,123,19,117,176,"2,811,200",49.00%,51.00%,26%,9%,12%,24%,13%,16%,11.50%,16.60%,32.80%,39.10%,"$62,087 ",$119.30 
Kentucky,47.00%,3.90%,25.50%,15.80%,1.40%,6.40%,"9,136","161,303","1,067","171,506","923,902",79%,21%,"$6,007,031,868 ","$9,804 ",17.90%,191,160,114,25,384,281,"4,319,300",49.00%,51.00%,24%,9%,11%,25%,14%,17%,16.10%,18.60%,32.30%,33.10%,"$52,295 ",$122.67 
Louisiana,41.80%,4.90%,29.30%,13.70%,1.40%,8.90%,"10,873","161,247","1,401","173,521","863,331",81%,19%,"$6,023,373,782 ","$11,270 ",16.00%,160,148,152,36,318,190,"4,498,600",48.10%,51.90%,25%,9%,12%,25%,13%,16%,18.70%,19.00%,28.90%,33.40%,"$51,073 ",$135.04 
Maine,46.50%,5.70%,20.00%,18.30%,1.50%,8.10%,"1,748","34,648",214,"36,610","337,359",83%,17%,"$1,982,194,677 ","$9,132 ",17.10%,73,89,61,18,154,39,"1,302,300",48.40%,51.60%,19%,7%,11%,25%,16%,21%,10.60%,18.40%,31.90%,39.10%,"$58,924 ",$117.49 
Maryland,54.70%,5.40%,18.70%,13.30%,1.90%,5.90%,"15,374","105,505",791,"121,670","1,028,046",88%,12%,"$10,346,864,448 ","$11,377 ",11.30%,48,44,48,17,131,1,"5,875,500",48.00%,52.00%,23%,8%,12%,27%,14%,16%,9.10%,12.20%,24.40%,54.40%,"$86,738 ",$128.36 
Massachusetts,55.90%,5.40%,22.10%,13.10%,0.50%,3.00%,"24,807","155,624","2,134","182,565","1,321,702",85%,15%,"$11,278,959,224 ","$11,310 ",11.70%,65,59,56,38,265,5,"6,650,800",48.60%,51.40%,21%,9%,13%,26%,14%,17%,9.40%,11.50%,23.30%,55.90%,"$85,843 ",$133.99 
Michigan,50.90%,5.20%,21.70%,15.90%,0.60%,5.80%,"19,606","249,135","1,715","270,456","2,052,369",84%,16%,"$12,724,126,445 ","$10,614 ",14.30%,269,244,242,39,349,198,"9,765,600",49.00%,51.00%,23%,9%,12%,25%,14%,18%,13.10%,16.70%,30.80%,39.40%,"$59,584 ",$119.96 
Minnesota,57.80%,5.20%,16.90%,14.70%,0.70%,4.80%,"11,253","81,132",777,"93,162","1,013,792",88%,12%,"$6,000,307,245 ","$10,804 ",10.90%,181,179,120,16,90,98,"5,514,800",49.60%,50.40%,24%,8%,13%,25%,14%,16%,9.00%,13.00%,28.70%,49.30%,"$74,593 ",$111.20 
Mississippi,42.20%,4.70%,24.20%,14.20%,1.80%,12.90%,"7,581","107,086",980,"115,647","598,465",80%,20%,"$5,280,832,770 ","$11,016 ",17.00%,153,143,83,20,242,201,"2,867,100",47.50%,52.50%,25%,9%,11%,25%,13%,17%,19.60%,21.60%,31.50%,27.30%,"$45,792 ",$119.95 
