State,Coverage Employer,Coverage Non-Group,Coverage Medicaid,Coverage Medicare,Coverage Military,Coverage Uninsured,SSI Aged,SSI Disabled,SSI Blind,SSI Total,Total Number of Medicare Beneficiaries,Medicare Aged,Medicare Disabled,Total Medicare Spending by Residence,Medicare Spending Per Enrollee,Disability Prevalence,Total Primary Care HPSA Designations,Total Dental Care HPSA Designations,Total Mental Health Care HPSA Designations,Total CHCs,CHC Service Delivery Sites,Total Rural Health Clinics,Total Residents,Average Monthly SNAP Benefits per Participant,Medicaid per enrollee,Medicaid per disabled enrollee,health,avgqoc
Alabama,47.20,5.50,19.50,16.00,2.10,9.70,7877,151391,931,160199,1041256,79,21,6082057554 ,10043 ,16.20,104,84,61,17,161,135,4767100,128.94 ,4777 ,12231 ,3.332269570114511,0.83720930232549
Alaska,48.40,3.50,21.30,10.00,5.30,11.50,1782,10601,85,12468,93267,88,12,911936545 ,9246 ,11.50,301,298,304,27,194,0,701700,180.63 ,8640 ,30762 ,3.5631147540983608,
Arizona,45.10,5.20,21.00,16.10,1.50,11.10,17785,100459,1180,119424,1311513,89,11,7587485140 ,9614 ,13.20,236,209,210,23,206,37,7098000,129.68 ,5616 ,20898 ,3.525915822291504,1.8108108108103254
Arkansas,42.00,5.40,26.20,15.90,1.40,9.10,4757,98907,667,104331,634556,79,21,4444199343 ,9487 ,17.70,98,96,51,12,149,110,2922500,108.08 ,6480 ,18532 ,3.2693190512624333,0.741935483870867
California,48.00,6.60,25.30,11.40,0.90,7.80,353120,853079,16798,1222997,6219520,90,10,41130306519 ,11656 ,10.60,643,499,578,180,1898,264,38642700,141.13 ,5581 ,25721 ,3.6439899833055094,1.9230769230769809
Colorado,53.40,6.90,16.80,12.80,2.30,7.80,10896,61273,555,72724,902239,89,11,4803207850 ,9051 ,10.60,120,98,65,20,223,61,5611800,128.22 ,6414 ,26938 ,3.724650521756251,1.75
Connecticut,52.90,4.80,21.50,14.10,0.70,5.90,7298,59012,456,66766,675638,88,12,4706811303 ,11803 ,12.00,28,39,38,16,314,0,3453300,143.13 ,8063 ,28550 ,3.69538495921332,2.955555555555975
Delaware,49.70,4.10,20.40,17.30,1.80,6.60,1299,15671,104,17074,206381,87,13,1879826447 ,10774 ,13.60,11,10,11,3,16,0,940300,123.93 ,7701 ,22240 ,3.5285785288270377,2.1428571428570473
District of Columbia,54.90,6.50,25.50,8.20,1.30,3.60,2177,23242,147,25566,93380,85,15,807445975 ,10679 ,11.90,15,12,10,8,70,0,671300,141.66 ,10166 ,31189 ,3.756646216768916,1.655172413793168
Florida,40.30,9.50,17.40,18.00,1.70,13.10,145432,427595,3660,576687,4514131,88,12,28599166489 ,11646 ,13.70,276,256,210,47,630,161,20992000,126.91 ,4718 ,12170 ,3.437250403602685,1.692307692308163
